_id,Hệ điều hành,Bộ vi xử lý,Hãng sản xuất,image_url,product_name,Cân nặng,VGA,price,product_url,device,"Bảo mật, công nghệ",Giao tiếp mạng,Card Reader,Kích thước (rộng x dài x cao),Bộ nhớ trong,Ổ cứng,Màn hình,Ổ quang,Dung lượng tối đa,Giao tiếp không dây,Cổng giao tiếp,Chủng loại,Số khe cắm,Mầu sắc,Part Number,Chipset,Phụ kiện đi kèm,ram
62a5d5705e7f53608f8c7ed3,win 10,core i7-10510u,laptop avita,https://anphat.com.vn/media/product/75_37482_6.jpg,laptop avita liber v14i-bp ns14a8vnr571-bpb blossom pink (core i7-10510u | 8gb | 1tb | intel uhd | 14.0 inch fhd | win 10 | hồng),1.28kg,intel uhd,19990000,https://www.anphatpc.com.vn/laptop-avita-liber-v14i-bp-ns14a8vnr571-bpb-core-i7-10510u-8gb-1tb-intel-uhd-14.0-inch-fhd-win-10-hong_id37482.html,laptop,bàn phím tiêu chuẩn,,microsd card reader,318 x 218 x 15.9 mm,1tb,1tb ssd sata m.2,14.0 inch fhd,không,,ieee 802.11 b/g/n/ac,"2x usb 3.01x usb 3.0 type-c (pd 2.0 charging, display out)",avita liber v14i-bp ns14a8vnr571-bpb,,hồng,,,,8gb
62a5d5705e7f53608f8c7ed4,win 10,core i7-11800h,laptop msi,https://anphat.com.vn/media/product/75_38340_8612_msi_creator_m16__1.jpg,laptop msi creator m16 a11ud 694vn (core i7-11800h | 16gb | 1tb ssd | rtx 3050 ti 4gb | 16 inch qhd+ | win 10 | core black),2.2 kg,rtx 3050 ti 4gb,39290000,https://www.anphatpc.com.vn/laptop-msi-creator-m16-a11ud-694vn-core-i7-11800h-16gb-1tb-ssd-rtx-3050-ti-4gb-16-inch-qhd-win-10-core-black.html,laptop,bàn phím tiêu chuẩn - single backlight kb(white),,-,359 x 256 x 15.9 mm,1tb ssd,1tb nvme pcie gen4x4 ssd,16 inch qhd+,không,,killer wi-fi 6e ax1675,1 x usb 3.2 gen 1 type-c 2 x usb 3.2 gen 1 type-a 1 x usb 2.0 type-a,msi creator m16 a11ud 694vn,,core black,,,,16gb
62a5d5705e7f53608f8c7ed5,windows 10 home,amd ryzen™ 5-4500u,laptop avita,https://anphat.com.vn/media/product/75_39153_37485_19328_laptop_avita_liber_v14j_fl_ns14a8vnr571_flb_1.jpg,laptop avita liber v14j-fl ns14a9vnv561-sla soft lavender (ryzen™ 5-4500u | 8gb | 512gb | amd radeon | 14.0 inch fhd | win 10),1.28kg,amd radeon™ graphics,16790000,https://www.anphatpc.com.vn/laptop-avita-liber-v14j-fl-ns14a9vnv561-sla-soft-lavender-ryzen-5-4500u-8gb-512gb-amd-radeon-14.0-inch-fhd-win-10_id39153.html,laptop,bàn phím tiêu chuẩn,,microsd card reader,318 x 218 x 15.9 mm,8gb ddr4 2400mhz onboard,512gb ssd sata m.2,14.0 inch fhd(1920 x 1080) anti-glare ips panel,không,,ieee 802.11 b/g/n/ac,"2x usb 3.01x usb 3.0 type-c (pd 2.0 charging, display out)",avita liber v14j-fl ns14a9vnv561-sla soft lavender,,soft lavender,,,,
62a5d5715e7f53608f8c7ed6,win 10,core i9-11900h,laptop msi,https://anphat.com.vn/media/product/75_38336_product_162035746357caaf684f1900109d3defc7efcd4dff.png,laptop msi creator z16 a11uet 218vn (core i9-11900h | 32gb | 1tb ssd | rtx 3060 max-q 6gb | 16 inch qhd+ | win 10 | lunar gray),2.2 kg,rtx 3060 max-q 6gb,65990000,https://www.anphatpc.com.vn/laptop-msi-creator-z16-a11uet-core-i9-11900h-32gb-1tb-ssd-rtx-3060-max-q-6gb-16-inch-qhd-win-10-lunar-gray.html,laptop,bàn phím tiêu chuẩn - mini led per key backlight kb,,micro sd,359 x 256 x 15.9 mm,1tb ssd,1tb nvme pcie gen4x4 ssd,16 inch qhd+,không,,killer wi-fi 6e ax1675,2x usb 3.2 gen22x thunderbolt™ 4,msi creator z16 a11uet 218vn,,lunar gray,,,,32gb
62a5d5715e7f53608f8c7ed7,windows 10 pro,core i5-1145g7,laptop dell,https://anphat.com.vn/media/product/75_39652_20700_laptop_dell_latitude_9420_70261781_4.jpg,laptop dell latitude 9420 70261781 (core i5-1145g7 | 16gb | 512gb | intel iris xe | 14 inch fhd+ | windows 10 pro | xám),1.4kg,intel iris xe,0,https://www.anphatpc.com.vn/laptop-dell-latitude-9420-70261781-core-i5-1145g7-16gb-512gb-intel-iris-xe-14-inch-fhd-windows-10-pro-xam.html,laptop,bàn phím tiêu chuẩn,,1 microsd-card slot,height (front): 8.43 mm height (rear): 13.91 mm width: 310.59 mm depth: 215.18 mm,512gb,512gb pcie nvme ssd,14 inch fhd+,không,,intel® wi-fi 6e ax210 2x2 802.11ax 160mhz,1 usb 3.2 gen 1 port with powershare2 thunderbolt 4 ports with displayport alt mode/usb4/power delivery,dell latitude 9420 70261781,,xám,,,,16gb
62a5d5715e7f53608f8c7ed8,win 10,core ™ i5-1135g7,laptop hp,https://anphat.com.vn/media/product/75_39978_,laptop hp probook 430 g8 51x38pa (core ™ i5-1135g7 | 8gb | 512gb | intel® iris® xe | 13.3 inch fhd | win 10 | bạc),1.28 kg,intel® iris® xe,21090000,https://www.anphatpc.com.vn/laptop-hp-probook-430-g8-51x38pa_id39978.html,laptop,bàn phím tiêu chuẩn - đèn nền bàn phím,-,-,30.69 x 20.84 x 1.59 cm,512gb,,13.3 inch fhd,không có,8gb (1 x 8gb),intel® ax201 wi-fi 6 (2x2),"1 superspeed usb type-c® 10gbps signaling rate (usb power delivery, displayport™ 1.4); 2 superspeed usb type-a 5gbps signaling rate (1 charging, 1 power);",hp probook 430 g8 51x38pa,2 khe,bạc,,,,8gb
62a5d5725e7f53608f8c7ed9,win 10,core™ i7-1165g7,laptop hp,https://anphat.com.vn/media/product/75_39979_,laptop hp probook 430 g8 51x42pa (core™ i7-1165g7 | 8gb | 512gb | intel® iris® xe | 13.3 inch fhd | win 10 | bạc),1.28 kg,intel® iris® xe,25090000,https://www.anphatpc.com.vn/laptop-hp-probook-430-g8-51x42pa_id39979.html,laptop,bàn phím tiêu chuẩn - đèn nền bàn phím,-,-,30.69 x 20.84 x 1.59 cm,512gb,,13.3 inch fhd,không có,8gb (1 x 8gb),intel® ax201 wi-fi 6 (2x2),"1 superspeed usb type-c® 10gbps signaling rate (usb power delivery, displayport™ 1.4); 2 superspeed usb type-a 5gbps signaling rate (1 charging, 1 power);",hp probook 430 g8 51x42pa,2 khe,bạc,,,,8gb
62a5d5725e7f53608f8c7eda,win 10,core i3-1125g4,laptop hp,https://anphat.com.vn/media/product/75_38323_35867_18757_laptop_hp_pavilion_15_eg0005tx_2d9c6pa_1.png,laptop hp pavilion 15-eg0510tu 46m10pa (core i3-1125g4 | 4gb | 512gb | intel uhd | 15.6 inch fhd | win 10 | bạc),1.75 kg,intel uhd,15790000,https://www.anphatpc.com.vn/laptop-hp-pavilion-15-eg0510tu-46m10pa-core-i3-1125g4-4gb-512gb-intel-uhd-15.6-inch-fhd-win-10-bac_id38323.html,laptop,bàn phím tiêu chuẩn,,-,36.02 x 23.4 x 1.79 cm,512gb,512gb pcie nvme™ m.2 ssd,15.6 inch fhd,không,,realtek rtl8822ce 802.11a/b/g/n/ac (2x2) wi-fi®,"1 superspeed usb type-c® 10gbps signaling rate (usb power delivery, displayport™ 1.4, hp sleep and charge); 2 superspeed usb type-a 5gbps signaling rate;",hp pavilion 15-eg0510tu 46m10pa,,bạc,,,,4gb
62a5d5725e7f53608f8c7edb,win 11,core™ i7-11800h,laptop hp,https://anphat.com.vn/media/product/75_40065_60580_laptop_hp_gaming_omen_16_4.png,laptop hp omen 16-b0127tx 4y0w7pa (core™ i7-11800h | 16gb | 1tb ssd + 32gb ssd | rtx 3060 6gb | 16.1 inch qhd | win 11 | đen),2.3 kg,rtx 3060 6gb,47690000,https://www.anphatpc.com.vn/laptop-hp-omen-16-b0127tx-4y0w7pa_id40065.html,laptop,bàn phím tiêu chuẩn - đèn nền bàn phím,,1 multi-format sd media card reader,36.92 x 24.8 x 2.3 cm,1tb ssd + 32gb ssd,,16.1 inch qhd,không có,16gb (2 x 8gb),intel® wi-fi 6 ax201 (2x2),"1 thunderbolt™ 4 with usb4™ type-c® 40gbps signaling rate (displayport™ 1.4, hp sleep and charge); 1 superspeed usb type-a 5gbps signaling rate (hp sleep and charge); 2 superspeed usb type-a 5gbps signaling rate",hp omen 16-b0127tx 4y0w7pa,-,đen,,,,16gb
62a5d5735e7f53608f8c7edc,win 10,core™ i7-1165g7,laptop hp,https://anphat.com.vn/media/product/75_39980_,laptop hp probook 430 g8 51x43pa (core™ i7-1165g7 | 16gb | 512gb | intel® iris® xe | 13.3 inch fhd | win 10 | bạc),1.28 kg,intel® iris® xe,29190000,https://www.anphatpc.com.vn/laptop-hp-probook-430-g8-51x43pa_id39980.html,laptop,bàn phím tiêu chuẩn - đèn nền bàn phím,-,-,30.69 x 20.84 x 1.59 cm,512gb,,13.3 inch fhd,không có,16gb,intel® ax201 wi-fi 6 (2x2),"1 superspeed usb type-c® 10gbps signaling rate (usb power delivery, displayport™ 1.4); 2 superspeed usb type-a 5gbps signaling rate (1 charging, 1 power);",hp probook 430 g8 51x43pa,2 khe,bạc,,,,16gb
